h3_cell_6,sum_population,avg_food,sum_gdp,gdp_per_capita
86264900fffffff,785.0,,3501474.9806,4460.477682292993
86264901fffffff,94.0,,305655.7924,3251.6573659574465
862649047ffffff,3431.0,,44273411.3997,12903.938035470708
86264904fffffff,6924.0,,169305842.995,24452.028162189486
862649057ffffff,3954.0,,17894427.783999998,4525.651943348507
86264905fffffff,18013.0,,957204575.605,53139.65333953256
862649067ffffff,1111.0,,2559949.996,2304.185414941494
86264906fffffff,2136.0,,4388831.5413,2054.696414466292
862649077ffffff,477.0,,941107.9773,1972.9726987421384
862649087ffffff,17.0,,108575.27,6386.780588235294
86264908fffffff,563.0,,1237624.3837,2198.267111367673
86264909fffffff,901.0,,1575647.2781,1748.776113318535
8626490afffffff,89.0,,295031.43319999997,3314.959923595505
8626490c7ffffff,1833.0,,4473988.4747,2440.8011318603385
8626490cfffffff,1700.0,,2644268.52,1555.4520705882353
8626490d7ffffff,1484.0,,11507441.3603,7754.340539285715
8626490dfffffff,972.0,,1999519.1803000001,2057.118498251029
8626490e7ffffff,2529.0,,7844609.050100001,3101.8620206010282
8626490efffffff,2337.0,,13418434.077,5741.734735558408
8626490f7ffffff,1078.0,,1659669.9837,1539.5825451762523
862649207ffffff,993.0,,1343057.4304,1352.525106143001
86264920fffffff,1055.0,,4189996.8382,3971.5609840758293
862649217ffffff,2926.0,,57383461.5141,19611.572629562543
86264921fffffff,4458.0,,121547682.9594,27265.070201749662
862649227ffffff,211.0,,7258761.3248,34401.71243981043
86264922fffffff,513.0,,5296411.2014,10324.388306822611
862649237ffffff,347.0,,54106094.0973,155925.34321988473
862649247ffffff,1124.0,,5783012.6655,5145.02906183274
86264924fffffff,500.0,,7485325.1421,14970.650284199999
862649257ffffff,1641.0,,8660047.4135,5277.2988503961
86264925fffffff,637.0,,5248065.4554,8238.721280062795
862649267ffffff,922.0,,3851220.305,4177.028530368763
86264926fffffff,1369.0,,6854604.2723,5007.015538568298
862649277ffffff,1106.0,,2633626.6734,2381.2176070524415
862649287ffffff,13702.0,,1272505171.1414,92870.03146558168
86264928fffffff,2890.0,,13085811.1145,4527.962323356401
862649297ffffff,2382.0,,10676217.391999999,4482.039207388749
86264929fffffff,2085.0,,4825456.5689,2314.367658944844
8626492a7ffffff,30866.0,,3008413367.86,97466.90105164259
8626492afffffff,4903.0,,164107659.3693,33470.86668759943
8626492b7ffffff,7679.0,,411593244.116,53599.84947467118
8626492c7ffffff,2684.0,,31137623.609,11601.201046572281
8626492cfffffff,945.0,,3530773.7976,3736.268568888889
8626492d7ffffff,11470.0,,728928072.961,63550.83460863121
8626492dfffffff,2588.0,,40142184.5261,15510.89046603555
8626492e7ffffff,3244.0,,12526163.155000001,3861.3326618372384
8626492efffffff,834.0,,2449592.7737,2937.1615991606714
8626492f7ffffff,2966.0,,35990808.802200004,12134.460149089684
862649307ffffff,7506.0,,190965545.3608,25441.719339301893
86264930fffffff,8942.0,,688608778.2024,77008.36258134645
862649317ffffff,2449.0,,18552448.4317,7575.519980277664
86264931fffffff,304.0,,1330382.6069999998,4376.258575657895
862649327ffffff,14869.0,,215264329.6149,14477.39119072567
86264932fffffff,31445.0,,690049172.7,21944.63897916998
862649337ffffff,6214.0,,46259889.961,7444.462497747023
86264934fffffff,31.0,,1687343.367,54430.43119354839
862649357ffffff,3400.0,,131965283.86919999,38813.31878505882
86264935fffffff,603.0,,6516631.8456999995,10807.017986235489
862649367ffffff,3861.0,,112366889.2553,29103.053420176122
86264936fffffff,3212.0,,78537801.4339,24451.370309433376
862649377ffffff,10887.0,,240072676.1072,22051.31589117296
862649387ffffff,1094.0,,3192511.5475,2918.2006832723946
86264938fffffff,151.0,,72901966.6214,482794.4809364238
862649397ffffff,560.0,,785092.5831,1401.9510412500001
86264939fffffff,808.0,,354029592.9879,438155.43686621287
8626493a7ffffff,2650.0,,22888391.6988,8637.128942943396
8626493afffffff,151.0,,245997.9655,1629.1255993377483
8626493b7ffffff,2402.0,,5174025.964699999,2154.049111032473
862649447ffffff,1671.0,,8393215.5471,5022.869866606822
86264944fffffff,1169.0,,5622645.5686,4809.790905560308
862649457ffffff,2087.0,,16786168.898,8043.20503018687
86264945fffffff,1462.0,,4774933.298800001,3266.0282481532154
86264946fffffff,1193.0,,3044694.9721999997,2552.1332541492034
86264948fffffff,4479.0,,71440153.125,15950.023024112525
86264949fffffff,918.0,,5924347.658,6453.537753812636
8626494c7ffffff,5367.0,,686119672.8158001,127840.4458386063
8626494cfffffff,1498.0,,61550509.0027,41088.45727817089
8626494d7ffffff,23998.0,,1461324487.9,60893.59479539962
8626494dfffffff,5010.0,,174782449.265,34886.716420159675
8626494e7ffffff,1932.0,,25039471.973300003,12960.389220134577
8626494efffffff,2395.0,,18651934.8035,7787.864218580376
8626494f7ffffff,948.0,,95669728.31400001,100917.43493037976
862649607ffffff,350.0,,876351.4176,2503.8611931428572
86264960fffffff,1601.0,,4392106.9648,2743.3522578388506
862649617ffffff,703.0,,2013616.1684,2864.3188739687057
86264961fffffff,1079.0,,2817326.4946,2611.0532850787763
862649627ffffff,1288.0,,15208323.2446,11807.704382453416
86264962fffffff,406.0,,933605.2405000001,2299.52029679803
862649637ffffff,532.0,,1524784.40806,2866.13610537594
